adf-qa adf-cargapreviaprecios-qa-s2i-12-qrrxx 
adf-qa adf-cargapreviaprecios-qa-s2i-9-build 
adf-qa adf-descargalayouts-qa-s2i-12-build 
adf-qa adf-descargalayouts-qa-s2i-13-build 
adf-qa adf-descargalayouts-qa-s2i-14-build 
adf-qa adf-descargalayouts-qa-s2i-21-bl6tf 
dlk-qa dlk-alertasdecumplimiento-qa-s2i-1-build http://swagger-editor-matriz-pruebas-qa.oscp.gnp.com.mx/?url=crm-utilerias-qa-s2i-1-89dss.json
dlk-qa dlk-alertasdecumplimiento-qa-s2i-2-fwmsm http://swagger-editor-matriz-pruebas-qa.oscp.gnp.com.mx/?url=dlk-alertasdecumplimiento-qa-s2i-2-fwmsm.json
eco-qa eco-consultapadecimentoooii-qa-s2i-1-build http://swagger-editor-matriz-pruebas-qa.oscp.gnp.com.mx/?url=dlk-alertasdecumplimiento-qa-s2i-2-fwmsm.json
eco-qa eco-consultapadecimentoooii-qa-s2i-8-4g7gl http://swagger-editor-matriz-pruebas-qa.oscp.gnp.com.mx/?url=eco-consultapadecimentoooii-qa-s2i-8-4g7gl.json
eco-qa eco-interfazregpadecimientooii-qa-s2i-2-build http://swagger-editor-matriz-pruebas-qa.oscp.gnp.com.mx/?url=eco-consultapadecimentoooii-qa-s2i-8-4g7gl.json
eco-qa eco-interfazregpadecimientooii-qa-s2i-9-2wm5s http://swagger-editor-matriz-pruebas-qa.oscp.gnp.com.mx/?url=eco-interfazregpadecimientooii-qa-s2i-9-2wm5s.json
eco-qa eco-interfazregsiniestrooii-qa-s2i-2-build http://swagger-editor-matriz-pruebas-qa.oscp.gnp.com.mx/?url=eco-interfazregpadecimientooii-qa-s2i-9-2wm5s.json
eco-qa eco-interfazregsiniestrooii-qa-s2i-7-cm29h http://swagger-editor-matriz-pruebas-qa.oscp.gnp.com.mx/?url=eco-interfazregsiniestrooii-qa-s2i-7-cm29h.json
eco-qa eco-validasat-qa-s2i-1-build http://swagger-editor-matriz-pruebas-qa.oscp.gnp.com.mx/?url=eco-interfazregsiniestrooii-qa-s2i-7-cm29h.json
eco-qa eco-validasat-qa-s2i-2-rk4j2 http://swagger-editor-matriz-pruebas-qa.oscp.gnp.com.mx/?url=eco-validasat-qa-s2i-2-rk4j2.json
estrategia-digital-qa esd-actualizapolizas-qa-s2i-1-89jnv http://swagger-editor-matriz-pruebas-qa.oscp.gnp.com.mx/?url=esd-actualizapolizas-qa-s2i-1-89jnv.json
estrategia-digital-qa esd-detallepolizas-qa-s2i-1-dkrqv http://swagger-editor-matriz-pruebas-qa.oscp.gnp.com.mx/?url=esd-detallepolizas-qa-s2i-1-dkrqv.json
estrategia-digital-qa esd-documentospoliza-qa-s2i-12-mqhhn http://swagger-editor-matriz-pruebas-qa.oscp.gnp.com.mx/?url=esd-documentospoliza-qa-s2i-12-mqhhn.json
estrategia-digital-qa esd-documentospoliza-qa-s2i-18-build http://swagger-editor-matriz-pruebas-qa.oscp.gnp.com.mx/?url=esd-documentospoliza-qa-s2i-12-mqhhn.json
estrategia-digital-qa esd-encripta-qa-s2i-1-wgcnm http://swagger-editor-matriz-pruebas-qa.oscp.gnp.com.mx/?url=esd-encripta-qa-s2i-1-wgcnm.json
estrategia-digital-qa esd-enviotarjetadig-qa-s2i-19-zqqh7 http://swagger-editor-matriz-pruebas-qa.oscp.gnp.com.mx/?url=esd-enviotarjetadig-qa-s2i-19-zqqh7.json
estrategia-digital-qa esd-enviotarjetadig-qa-s2i-32-build http://swagger-editor-matriz-pruebas-qa.oscp.gnp.com.mx/?url=esd-enviotarjetadig-qa-s2i-19-zqqh7.json
estrategia-digital-qa esd-facturaspoliza-qa-s2i-1-h4n4g http://swagger-editor-matriz-pruebas-qa.oscp.gnp.com.mx/?url=esd-facturaspoliza-qa-s2i-1-h4n4g.json
estrategia-digital-qa esd-generacertificado-qa-s2i-1-rclvc http://swagger-editor-matriz-pruebas-qa.oscp.gnp.com.mx/?url=esd-generacertificado-qa-s2i-1-rclvc.json
estrategia-digital-qa esd-resumenpolizaindividual-qa-s2i-1-fhtmn http://swagger-editor-matriz-pruebas-qa.oscp.gnp.com.mx/?url=esd-resumenpolizaindividual-qa-s2i-1-fhtmn.json
estrategia-digital-qa esd-rolespermisos-qa-s2i-1-grkm8 http://swagger-editor-matriz-pruebas-qa.oscp.gnp.com.mx/?url=esd-rolespermisos-qa-s2i-1-grkm8.json
fuse72-console fuse-console-4-nhzm2 http://swagger-editor-matriz-pruebas-qa.oscp.gnp.com.mx/?url=esd-rolespermisos-qa-s2i-1-grkm8.json
gdc-filenet-qa filenet-alta-qa-s2i-13-build http://swagger-editor-matriz-pruebas-qa.oscp.gnp.com.mx/?url=esd-rolespermisos-qa-s2i-1-grkm8.json
gdc-filenet-qa filenet-alta-qa-s2i-3-2gplb http://swagger-editor-matriz-pruebas-qa.oscp.gnp.com.mx/?url=filenet-alta-qa-s2i-3-2gplb.json
gdc-filenet-qa filenet-alta-qa-s2i-3-dfrr8 http://swagger-editor-matriz-pruebas-qa.oscp.gnp.com.mx/?url=filenet-alta-qa-s2i-3-dfrr8.json
gdc-filenet-qa filenet-alta-qa-s2i-3-snz2c http://swagger-editor-matriz-pruebas-qa.oscp.gnp.com.mx/?url=filenet-alta-qa-s2i-3-snz2c.json
gdc-filenet-qa filenet-baja-qa-s2i-1-jrrd6 http://swagger-editor-matriz-pruebas-qa.oscp.gnp.com.mx/?url=filenet-baja-qa-s2i-1-jrrd6.json
gdc-filenet-qa filenet-consulta-metadata-qa-s2i-1-4h6fk http://swagger-editor-matriz-pruebas-qa.oscp.gnp.com.mx/?url=filenet-consulta-metadata-qa-s2i-1-4h6fk.json
gdc-filenet-qa filenet-copia-qa-s2i-2-68vhs http://swagger-editor-matriz-pruebas-qa.oscp.gnp.com.mx/?url=filenet-copia-qa-s2i-2-68vhs.json
gdc-filenet-qa filenet-copia-qa-s2i-8-build http://swagger-editor-matriz-pruebas-qa.oscp.gnp.com.mx/?url=filenet-copia-qa-s2i-2-68vhs.json
